Date,Startup Name,Vertical,Sub-Vertical,City,Investor,Type,Amount (in USD),Remarks
01/05/2015,Termsheet,Fund Raising Platform,,Chennai,"Anand Vijay, Nipun Dureja, Satyajit Heeralal, Keith Rodricks, Gaurav Lochan, Azmul Haque, Nikhil Bagri",Seed Funding,"100,000",
04/05/2015,Applicate,Workforce Management Software,,Bangalore,"Rishi Vasudev, Amit Gupta, Rajiv Nayan",Seed Funding,"550,000",
04/05/2015,World Art Community,Online Art Marketplace,,Gurgaon,Viraj Tyagi & others,Seed Funding,"200,000",
04/05/2015,SpoonJoy,Online Food Delivery,,Bangalore,SAIF Partners,Seed Funding,"1,000,000",
05/05/2015,Seed Schools,Affordable Education,,Hyderabad,Acumen Fund,Seed Funding,"650,000",
05/05/2015,Ignis Careers,Career Development,,Hyderabad,Acumen Fund,Seed Funding,"250,000",
05/05/2015,Square Yards,Real Estate Advisory,,Gurgaon,Undisclosed Investors,Private Equity,"6,000,000",pre-Series A
05/05/2015,Fintellix,Banking Analytics Platform,,Bangalore,"IDG Ventures, Sequoia Capital",Private Equity,"15,000,000",Series C
05/05/2015,Customer360,Customer Engagement Platform,,Mumbai,Vishwas Patel,Seed Funding,N/A,
06/05/2015,Delhivery,Ecommerce Logistics,,Gurgaon,"Tiger Global Management, Multiples Alternate Asset Management, Nexus Venture Partners, Times Internet",Private Equity,"85,000,000",Series D
06/05/2015,Swiggy,Online Food Delivery,,Bangalore,Norwest Venture Partners,Private Equity,"15,000,000",Series B
07/05/2015,Uniphore,Speech Recognition Solutions,,Chennai,"IDG Ventures, Kris Gopalakrishnan",Private Equity,N/A,Series A
07/05/2015,Box8,Online Food Delivery,,Mumbai,Mayfield Ventures,Private Equity,"3,500,000",Series A
